order_id,payment_sequential,payment_type,payment_installments,payment_value,order_purchase_timestamp,date,hour
570daa876f56bc4b6b5e503e01318c0e,1,credit_card,4,82.42,2017-11-22 18:23:16,2017-11-22,18
de170050f62caffbd0b8b077187ba262,1,credit_card,5,124.52,2017-11-22 18:55:53,2017-11-22,18
1d95cfa17a6ea1b7908c0d284f9ee2c8,1,credit_card,1,51.86,2017-11-22 18:03:36,2017-11-22,18
6684083994ae824286f8b72945b60758,1,credit_card,1,63.65,2017-11-22 18:22:40,2017-11-22,18
1a7b699187ad9cdb9d6dcf647450b861,1,credit_card,5,59.69,2017-11-22 18:38:11,2017-11-22,18
9f5452841a5075ac35f12e8854c793cb,1,credit_card,3,203.67,2017-11-22 18:44:40,2017-11-22,18
2d687102eef8e4949a9d2af49e8fa946,1,credit_card,4,206.92,2017-11-22 18:55:27,2017-11-22,18
cad5d696e0d7bf7f475ff4cb616e7cd1,1,credit_card,3,660.39,2017-11-22 18:13:26,2017-11-22,18
29c414cde56330f1621dfec4880ae552,1,credit_card,1,155.45,2017-11-22 18:33:30,2017-11-22,18
cd0b902d14f0c8d23aa34f4d50bf7843,1,credit_card,5,57.21,2017-11-22 18:17:15,2017-11-22,18
4989d3c937d764f91bf6697dd572f524,1,credit_card,1,28.09,2017-11-22 18:56:10,2017-11-22,18
c80a0f4c8860db02b33d08ecf2c6e03c,1,boleto,1,83.72,2017-11-22 18:43:55,2017-11-22,18
f0879b6057e432d81b2eab159c70a0b5,1,credit_card,5,96.8,2017-11-22 18:04:31,2017-11-22,18
