order_id,payment_sequential,payment_type,payment_installments,payment_value,order_purchase_timestamp,date,hour
ac29dc202ed3414563f9093e2dad9ec3,1,credit_card,4,134.98,2018-05-15 17:36:10,2018-05-15,17
c9076d0a5b9df9fd2e5e808fff91f425,1,credit_card,2,50.13,2018-05-15 17:51:09,2018-05-15,17
e4a03f1067b6f71cfad04c77a586d208,1,debit_card,1,49.65,2018-05-15 17:07:39,2018-05-15,17
8cae6053f4694ebc081e862e0d013a89,1,credit_card,1,115.58,2018-05-15 17:08:37,2018-05-15,17
3af10bc9c43fb593524e8096765b116f,1,credit_card,2,64.62,2018-05-15 17:47:49,2018-05-15,17
c6ce16ec9d90cc25b3372ce14fbfb327,1,credit_card,8,313.18,2018-05-15 17:05:39,2018-05-15,17
0ea7c4f19490b13285f00729f7f9b276,2,voucher,1,50.0,2018-05-15 17:45:46,2018-05-15,17
de6db4f3c511147d4ab0a44149a38960,1,credit_card,1,63.7,2018-05-15 17:40:40,2018-05-15,17
5449f77a049c11b2e8b645ecfef2ebbf,1,boleto,1,62.01,2018-05-15 17:59:17,2018-05-15,17
a862ecff56ca6a3060e2754e31633320,1,credit_card,1,119.31,2018-05-15 17:19:59,2018-05-15,17
a28f6c9d0933acd34c3ae149cc537b65,1,credit_card,4,170.54,2018-05-15 17:42:46,2018-05-15,17
0a9ce4ac2d44f45f52feb4747f238d5d,1,credit_card,1,110.1,2018-05-15 17:38:49,2018-05-15,17
1705468d3470bcd4def52e6e8fa2cd92,1,credit_card,4,42.78,2018-05-15 17:20:15,2018-05-15,17
1565f22aa9452ff278638e87cc895678,1,boleto,1,28.29,2018-05-15 17:41:00,2018-05-15,17
7ca8750c7c9d32f8c383020f380ae5e2,1,credit_card,8,83.32,2018-05-15 17:01:28,2018-05-15,17
2a35865127abce2cb704864522b9710c,1,credit_card,1,49.97,2018-05-15 17:00:02,2018-05-15,17
2e2005a55f448272a7f91f8ec48db9ee,1,credit_card,9,128.97,2018-05-15 17:07:39,2018-05-15,17
01787af385123b93ba50c5f05530ee12,1,credit_card,1,114.38,2018-05-15 17:33:50,2018-05-15,17
2f3e82f47fffb5e28d966cb7dde890e8,1,boleto,1,67.23,2018-05-15 17:55:22,2018-05-15,17
0ea7c4f19490b13285f00729f7f9b276,1,credit_card,1,63.68,2018-05-15 17:45:46,2018-05-15,17
b3420e20ed3efddaec71dd9ba0759467,1,credit_card,1,51.13,2018-05-15 17:11:39,2018-05-15,17
