order_id,payment_sequential,payment_type,payment_installments,payment_value,order_purchase_timestamp,date,hour
affd57fb0daa6ba18e47cb9f31c2bc65,1,boleto,1,98.7,2017-10-23 13:19:38,2017-10-23,13
cb00070405704f99f49cf9e9e2794c77,1,credit_card,5,254.01,2017-10-23 13:04:06,2017-10-23,13
537be38441cb6b55c59979427abe99ef,1,boleto,1,96.59,2017-10-23 13:35:21,2017-10-23,13
08597f2b3cec1c223f1b7950bda0a9fc,1,credit_card,3,45.0,2017-10-23 13:31:12,2017-10-23,13
76b1653b8b73dfc5eee0a0cb25c88801,1,credit_card,1,66.1,2017-10-23 13:01:55,2017-10-23,13
1a5c3dad7f8ccf75ce213a3726a25af2,1,boleto,1,209.4,2017-10-23 13:06:12,2017-10-23,13
c3e40fee340399205d38e93fe4fa21d1,1,boleto,1,303.32,2017-10-23 13:08:00,2017-10-23,13
4a3810dd72f7bd6972e0c9eda2923446,1,boleto,1,71.92,2017-10-23 13:24:29,2017-10-23,13
19cafdf7469104c432959892a04920a2,1,credit_card,1,39.62,2017-10-23 13:32:59,2017-10-23,13
e359161b033a3071a1f578ff47c8c48c,1,boleto,1,211.28,2017-10-23 13:20:04,2017-10-23,13
caa7dcd7507e6cdcd45f7ba5d29383a9,1,boleto,1,77.77,2017-10-23 13:57:25,2017-10-23,13
64a58e424494f1f8ed5895885b9dfe16,1,credit_card,1,62.23,2017-10-23 13:19:27,2017-10-23,13
