order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
919a615149354b4e074eff65adaeae81,ba8a4209b5b60ac17ac458fdf1d34ddb,delivered,2017-12-28 18:40:56,2017-12-28 20:08:04,2018-01-05 00:56:39,2018-01-16 18:43:16,2018-01-31 00:00:00
8f08b9fbb16d480bcb3c53db1eaf49da,c0cec5fc3063db1248cadc8347e223ab,delivered,2017-12-28 10:54:18,2017-12-28 11:08:03,2017-12-28 22:49:10,2017-12-29 17:27:25,2018-01-17 00:00:00
288edb42bc749855816a5e66e39d342a,4ce13550ee2faa98b72b3c507e1144f5,delivered,2017-12-28 17:40:18,2017-12-28 17:50:21,2018-01-02 15:07:15,2018-01-09 17:59:23,2018-01-29 00:00:00
2e8265affe5bc22876b8e69548e074fb,9c4f2d8c14b700df0e7625d3ffa35174,delivered,2017-12-28 00:26:37,2017-12-28 01:00:33,2018-01-03 21:19:15,2018-01-10 21:10:38,2018-01-29 00:00:00
e2beeb3a428f811804079bc11b23c0c0,31665bd5bc542687ab54c9fd9ed9917b,processing,2017-12-28 12:46:11,2017-12-28 12:54:49,,,2018-01-24 00:00:00
c1242e3f591a1f8ab11d51f2aedb1bb0,da0a466286c5f331008ff11925b8af24,delivered,2017-12-28 16:47:54,2017-12-28 16:56:23,2018-01-13 00:33:03,2018-02-20 17:58:58,2018-02-06 00:00:00
b8c123fb1b26f1adfb0d6f9d17255de7,55078458f6622b6a47faf210f19c838d,delivered,2017-12-28 11:27:49,2017-12-28 11:37:22,2018-01-04 23:07:30,2018-01-17 18:02:50,2018-01-17 00:00:00
50a6fb3fc2465d6d820f5a569be4d566,06feba89747b8e9e2a482ca08e3b1c3b,delivered,2017-12-28 16:22:35,2017-12-28 17:29:45,2018-01-04 13:10:55,2018-01-15 16:05:27,2018-01-29 00:00:00
c6fd86af2bbfc7aa0cc902eff1ead5e4,f316bdbd553c081a873eb697e8f98be1,delivered,2017-12-28 12:01:05,2017-12-28 12:10:26,2017-12-28 19:19:22,2018-01-08 18:32:52,2018-01-23 00:00:00
59e965eb9a8f7f341a003466fbe14229,8713f2c76cceb801594317bc39ef35bd,delivered,2017-12-28 20:17:58,2017-12-28 20:29:25,2018-01-02 20:32:15,2018-01-11 15:14:16,2018-01-23 00:00:00
071d86b8fc66cad2d0bb93775be89392,1b1aa6b965239711ee0033be972f7f65,delivered,2017-12-28 20:45:13,2017-12-28 22:32:29,2018-01-02 22:07:52,2018-01-11 17:39:38,2018-02-05 00:00:00
8e52a68d565e91ac8c01ec9c8e39c77e,055969db327a781fd3d88472468519fd,delivered,2017-12-28 03:42:44,2017-12-28 03:54:18,2018-01-03 20:46:47,2018-01-08 22:21:06,2018-01-23 00:00:00
2d8d686ea253f4d2cdfc519f2840fea3,04884745364ffe39a89379b80a2c2919,delivered,2017-12-28 21:52:29,2017-12-29 02:31:49,2017-12-29 17:30:10,2018-01-04 15:03:05,2018-01-24 00:00:00
a0d5633fe92946ea39b59d2fd89d249c,2936a5186c34f7fa84440ad1a34d385a,delivered,2017-12-28 15:32:45,2017-12-28 15:47:35,2018-01-05 22:59:18,2018-01-16 22:13:29,2018-01-30 00:00:00
2cb453e2ea64689dceec47dc8f62369e,49125beca13f777065d0c12bed2053b8,delivered,2017-12-28 13:58:48,2017-12-28 14:07:13,2017-12-28 23:39:02,2018-01-08 15:59:38,2018-01-23 00:00:00
87317718d67eda6146e87be5a4688d63,df6cad6f4f2bd25475d9c36db3c65331,delivered,2017-12-28 18:59:26,2017-12-28 19:07:39,2018-01-05 19:15:36,2018-01-24 00:09:48,2018-01-31 00:00:00
688f9f7bf06856abf4f9bd73e57cb5a4,5f93f330ff0dc45aed4db06da679d7dc,delivered,2017-12-28 11:20:27,2017-12-28 12:16:32,2018-01-04 23:32:49,2018-02-07 01:06:34,2018-01-30 00:00:00
6e0e5e93c12213702b1bdac5a742b828,6a5f12dd53b794b45d03b7ab7c98aab5,delivered,2017-12-28 20:50:29,2017-12-28 20:59:22,2018-01-02 21:18:44,2018-01-04 17:13:50,2018-01-17 00:00:00
57b25dbf1f14d444551d5e3c67eb33e1,342edd62bf443f87606934280617cbc8,delivered,2017-12-28 16:49:51,2017-12-28 16:59:43,2018-01-05 00:58:47,2018-01-05 19:28:55,2018-01-17 00:00:00
bca88b3b35d1223abd0d2a29ddc7166e,eb914f782da6a9bb3aeeabfd71c3966b,delivered,2017-12-28 20:05:33,2017-12-29 16:13:29,2018-01-04 21:52:13,2018-01-05 22:35:34,2018-01-17 00:00:00
6c241acf57ed5ad34e75d73e49f80f0e,b514422efcf14bef34858a0829bef189,delivered,2017-12-28 04:31:58,2017-12-28 04:47:24,2017-12-28 17:59:29,2018-01-23 22:36:08,2018-01-30 00:00:00
7e0887f9493193dc6b5b76f352088c90,64070c5f2b01790e6eb66086e9cc852a,delivered,2017-12-28 21:35:44,2017-12-28 21:47:45,2017-12-29 22:38:51,2018-01-03 12:05:14,2018-01-17 00:00:00
fe751fb989fdd6ff6c21a0b708da0d13,caf69cb2c6e8252358df8fabdc9544f7,delivered,2017-12-28 23:14:50,2017-12-28 23:27:09,2018-01-02 19:35:12,2018-01-12 22:10:41,2018-01-29 00:00:00
