order_id,payment_sequential,payment_type,payment_installments,payment_value,order_purchase_timestamp,date,hour
65312333af3cf09155fe9386a42bb2e1,1,credit_card,2,63.15,2018-05-04 11:44:44,2018-05-04,11
119deda2a77e33414b216eec6ababd07,1,credit_card,5,153.49,2018-05-04 11:53:05,2018-05-04,11
75b807e20fa82b17f1c29a7e140e88a3,1,credit_card,1,313.53,2018-05-04 11:34:45,2018-05-04,11
96a2b5167187b3cfde60cd245d421132,1,boleto,1,48.22,2018-05-04 11:55:54,2018-05-04,11
59c1a8b3cbb65f342ab100aedd060642,1,boleto,1,125.38,2018-05-04 11:51:49,2018-05-04,11
a02ddb57f9bf46f22a23296cc62653c0,1,credit_card,2,100.84,2018-05-04 11:58:19,2018-05-04,11
6d86a700fbdfec909998eefa9110f3e9,1,credit_card,10,266.47,2018-05-04 11:14:37,2018-05-04,11
f09f120287187752189deb9aa679f92a,1,boleto,1,143.81,2018-05-04 11:19:58,2018-05-04,11
08fe21124b36efe247030b7939603f1b,1,voucher,1,27.29,2018-05-04 11:07:13,2018-05-04,11
78a921fe4bd6b5ca34e29ea5749bce4f,1,credit_card,3,88.5,2018-05-04 11:52:31,2018-05-04,11
860690bc540ac01e91faa26cf28cdd5e,1,credit_card,3,175.99,2018-05-04 11:06:55,2018-05-04,11
c38c88c87a4800eda1f0a4f0638a48f3,1,credit_card,6,69.9,2018-05-04 11:34:53,2018-05-04,11
c54e182c8f67aed244820428d9ca9085,1,credit_card,1,99.9,2018-05-04 11:19:02,2018-05-04,11
d433c4d11b5681a6d64064f3ceb4c5a4,1,boleto,1,99.72,2018-05-04 11:08:53,2018-05-04,11
6b998c66969da91aea4b8ce0173a5bdd,1,credit_card,5,115.15,2018-05-04 11:09:54,2018-05-04,11
c487fa98ecd15cd13d1467d49ec6af47,1,boleto,1,282.82,2018-05-04 11:52:04,2018-05-04,11
d07d2fccd1924a3b646f886c6d351c06,1,credit_card,1,48.87,2018-05-04 11:48:49,2018-05-04,11
e7f30a3abdc763c660d1dc442dce909f,1,credit_card,5,133.1,2018-05-04 11:28:12,2018-05-04,11
e63d9de42a90dff1cdde4dac22056ac3,1,credit_card,3,164.13,2018-05-04 11:54:06,2018-05-04,11
b6e3915b3670164d7ff568eb2db3aa88,1,boleto,1,163.93,2018-05-04 11:39:36,2018-05-04,11
