order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e346cd9299371b18c0b28e8e29a5e376,fb9590a1e30e0ba8304ea73a31325797,delivered,2017-05-17 08:36:11,2017-05-17 08:45:09,2017-05-17 10:13:52,2017-05-23 13:32:30,2017-06-06 00:00:00
f3edc8c0a39fd1b01507928af2a47448,0b859d5b44d9d4882ace2e2dc93cc213,delivered,2017-05-17 23:39:36,2017-05-17 23:50:16,2017-05-18 14:23:39,2017-05-26 11:56:47,2017-06-12 00:00:00
b669dbb8187ebd3a27a9d710d9e53194,bcf47f22d180c8242c96c83bf11fdc51,delivered,2017-05-17 23:58:42,2017-05-18 01:25:18,2017-05-23 10:08:31,2017-05-31 14:59:43,2017-06-13 00:00:00
f1282227fa785dd8dfdcdb22f99be533,cddd3a48c87f57e5e8a07295e48cb714,delivered,2017-05-17 15:08:18,2017-05-19 02:30:33,2017-05-19 10:10:02,2017-05-26 10:08:02,2017-06-06 00:00:00
9f63ac5c9ccec372d7d7ab7a8ae39243,01f7155995c6d4cda4fab4d36293d80a,delivered,2017-05-17 10:45:24,2017-05-19 02:35:06,2017-05-23 11:32:37,2017-05-31 14:55:44,2017-06-08 00:00:00
05b2ebbb3869fd116a0a1c247ba70d00,115f6268f9705c6ed3b4119c8fe5f85e,delivered,2017-05-17 11:07:52,2017-05-17 11:22:29,2017-05-19 10:22:53,2017-05-24 13:16:01,2017-06-21 00:00:00
758e852ab6d20c02ec1b0f75a024d83f,7c89a2053c38cf699f55fb5864282447,delivered,2017-05-17 22:16:39,2017-05-18 23:42:35,2017-05-19 16:01:37,2017-06-01 13:15:33,2017-06-19 00:00:00
8176c11ca059602f1a7b1615f4cebbd6,706294ee2bf13bab8e5ed8ad240b0406,delivered,2017-05-17 22:58:25,2017-05-17 23:10:16,2017-05-18 16:28:07,2017-05-19 10:38:08,2017-05-31 00:00:00
7ac13b045c748b7eef3f9011bd5683c9,1c18838e08ac38890f0562e339a03d8f,delivered,2017-05-17 17:38:51,2017-05-17 17:50:21,2017-05-18 08:40:07,2017-05-19 10:29:48,2017-06-08 00:00:00
693baf16595f02138e24e30ba2f1925e,31f2247461c783f2fc3c7f88a675c818,delivered,2017-05-17 19:14:22,2017-05-19 02:30:29,2017-05-25 09:21:37,2017-06-03 09:55:36,2017-06-06 00:00:00
443ea0d00a4dd357d8b2c193cfd8a17c,7249040078291bec6d05caa991b1dc01,delivered,2017-05-17 09:18:35,2017-05-18 17:05:19,2017-05-30 09:30:14,2017-06-02 16:57:48,2017-06-07 00:00:00
df2fc7ba1ed5d8b9defb1d67ded57fb5,9ef127d5e1160289c0629d156a39c648,delivered,2017-05-17 16:05:12,2017-05-19 02:35:14,2017-05-19 10:18:50,2017-05-22 11:22:03,2017-05-30 00:00:00
1d0cb4b170fe0f5f20475c4ec3ec4f06,89d3acddfe3e52705206aeb30a6a7217,delivered,2017-05-17 18:14:31,2017-05-17 18:25:11,2017-05-19 14:49:11,2017-05-25 12:05:18,2017-06-14 00:00:00
ef53ed0382d7f4a3ce54b8e4a0ba7143,4593fdf052a39ca08a8102843c136840,delivered,2017-05-17 14:33:51,2017-05-19 02:24:20,2017-05-19 12:06:08,2017-05-24 10:44:53,2017-06-07 00:00:00
